epoch,train_loss,val_loss,val_iou
1,0.7157,0.5346,0.7400
2,0.3537,0.6151,0.7209
3,0.2490,0.3975,0.7492
4,0.2280,0.2399,0.7770
5,0.1519,0.1748,0.7986
6,0.1692,0.2308,0.7509
7,0.1537,0.1754,0.7843
8,0.1326,0.1901,0.7786
9,0.1285,0.1355,0.8363
10,0.1215,0.1764,0.7857
11,0.1212,0.1470,0.8259
12,0.1048,0.1351,0.8327
13,0.0920,0.1281,0.8403
14,0.0939,0.2111,0.7766
15,0.0811,0.1680,0.7966
16,0.0756,0.1476,0.8166
17,0.0761,0.1584,0.8014
18,0.1026,0.1366,0.8394
19,0.1070,0.1916,0.7730
20,0.1081,0.2017,0.7880
21,0.1524,0.1427,0.8327
22,0.0934,0.1622,0.8113
23,0.0905,0.1443,0.8180
24,0.0667,0.1686,0.7829
25,0.0805,0.1862,0.8011
26,0.0680,0.1423,0.8291
27,0.0858,0.1563,0.8225
28,0.0693,0.1616,0.8055
29,0.0595,0.1238,0.8459
30,0.0785,0.1196,0.8403
31,0.0817,0.1263,0.8448
32,0.0547,0.1489,0.8160
33,0.0585,0.1906,0.7431
34,0.0649,0.1116,0.8469
35,0.0545,0.1608,0.7855
36,0.0478,0.1812,0.7740
37,0.0489,0.1155,0.8590
38,0.0442,0.1284,0.8429
39,0.0440,0.1301,0.8421
40,0.0403,0.1292,0.8404
